line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
flemington_racecourse,Flemington Racecourse,Showgrounds,Flinders Street,4.501,15.43,12.32,17.7,22.0,13.87,19.5,3.11,4.3,63,44,low
flemington_racecourse,Flemington Racecourse,Showgrounds,North Melbourne,4.053,8.86,6.54,28.2,37.7,7.7,31.6,2.33,9.5,1031,1054,low
flemington_racecourse,Flemington Racecourse,Flemington Racecourse,Showgrounds,0.855,0.7,2.04,74.5,25.3,1.37,37.5,1.34,49.2,52,26,low
