line_slug,Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
flemington_racecourse,Flemington Racecourse,Flemington Racecourse,Southern Cross,6.588,12.86,11.25,31.2,35.2,12.05,32.8,1.61,4.0,365,53,medium
flemington_racecourse,Flemington Racecourse,Flemington Racecourse,Flinders Street,5.356,15.44,14.82,20.9,21.7,15.13,21.2,0.62,0.9,294,399,medium
flemington_racecourse,Flemington Racecourse,Flemington Racecourse,North Melbourne,4.908,8.78,8.22,33.9,36.0,8.5,34.6,0.55,2.1,738,877,medium
flemington_racecourse,Flemington Racecourse,Showgrounds,Flinders Street,4.501,15.43,12.32,17.7,22.0,13.87,19.5,3.11,4.3,63,44,low
flemington_racecourse,Flemington Racecourse,Showgrounds,North Melbourne,4.053,8.86,6.54,28.2,37.7,7.7,31.6,2.33,9.5,1031,1054,low
flemington_racecourse,Flemington Racecourse,North Melbourne,Southern Cross,1.68,3.0,2.76,34.5,36.7,2.88,35.0,0.24,2.2,1718,1974,high
flemington_racecourse,Flemington Racecourse,Southern Cross,Flinders Street,1.232,4.33,3.66,17.4,20.3,3.99,18.5,0.68,2.9,1813,1726,medium
flemington_racecourse,Flemington Racecourse,Flemington Racecourse,Showgrounds,0.855,0.7,2.04,74.5,25.3,1.37,37.5,1.34,49.2,52,26,low
